"Parameter","Overall_Ratio_Flex_MIRT","Overall_Ratio_Flex_Mplus","Overall_Ratio_MIRT_Mplus"
"Intercept",1.08593531538949,0.994266610212871,0.903026423970516
"Slope",1.24167277767729,1.84611620223779,1.55583302365373
