"Parameter","Overall_Ratio_Flex_MIRT","Overall_Ratio_Flex_Mplus","Overall_Ratio_MIRT_Mplus"
"Intercept",1.23541237531064,1.17381133464422,0.911426633963592
"Slope",1.67037295657975,3.9903043996287,2.90031564447279
