"Parameter","Overall_Ratio_Flex_MIRT","Overall_Ratio_Flex_Mplus","Overall_Ratio_MIRT_Mplus"
"Intercept",1.0633197970926,0.918967383821125,0.863047045525123
"Slope",1.08402046275902,1.31054317085058,1.21152697655332
